LocID,Adjacent_District
220.0,128
243.0,128
70.0,129
82.0,129
83.0,129
138.0,129
173.0,129
207.0,129
223.0,129
260.0,129
28.0,130
122.0,130
131.0,130
134.0,130
197.0,130
205.0,130
215.0,130
216.0,130
28.0,131
98.0,131
121.0,131
122.0,131
130.0,131
175.0,131
191.0,131
2.0,132
124.0,132
203.0,132
216.0,132
219.0,132
26.0,133
89.0,133
111.0,133
257.0,133
28.0,134
93.0,134
95.0,134
96.0,134
130.0,134
197.0,134
28.0,135
93.0,135
121.0,135
192.0,135
18.0,136
94.0,136
153.0,136
220.0,136
235.0,136
241.0,136
107.0,137
170.0,137
224.0,137
233.0,137
53.0,138
70.0,138
93.0,138
129.0,138
199.0,138
223.0,138
38.0,139
203.0,139
205.0,139
218.0,139
219.0,139
141.0,140
229.0,140
262.0,140
263.0,140
140.0,141
162.0,141
229.0,141
236.0,141
237.0,141
262.0,141
263.0,141
43.0,142
48.0,142
50.0,142
143.0,142
163.0,142
239.0,142
48.0,143
50.0,143
142.0,143
239.0,143
45.0,144
114.0,144
148.0,144
211.0,144
231.0,144
146.0,145
193.0,145
226.0,145
7.0,146
145.0,146
193.0,146
226.0,146
126.0,147
159.0,147
167.0,147
168.0,147
4.0,148
45.0,148
79.0,148
144.0,148
232.0,148
91.0,149
123.0,149
154.0,149
155.0,149
165.0,149
210.0,149
29.0,150
154.0,150
210.0,150
24.0,151
43.0,151
238.0,151
41.0,152
42.0,152
116.0,152
166.0,152
136.0,153
220.0,153
149.0,154
150.0,154
155.0,154
210.0,154
39.0,155
91.0,155
149.0,155
154.0,155
23.0,156
187.0,156
80.0,157
82.0,157
83.0,157
160.0,157
198.0,157
226.0,157
260.0,157
68.0,158
125.0,158
246.0,158
249.0,158
69.0,159
147.0,159
167.0,159
168.0,159
82.0,160
102.0,160
157.0,160
196.0,160
198.0,160
100.0,161
162.0,161
163.0,161
164.0,161
170.0,161
230.0,161
141.0,162
161.0,162
163.0,162
170.0,162
229.0,162
233.0,162
237.0,162
43.0,163
48.0,163
142.0,163
161.0,163
162.0,163
230.0,163
237.0,163
100.0,164
107.0,164
161.0,164
170.0,164
186.0,164
230.0,164
234.0,164
89.0,165
91.0,165
123.0,165
149.0,165
178.0,165
24.0,166
41.0,166
42.0,166
152.0,166
47.0,167
59.0,167
60.0,167
69.0,167
126.0,167
147.0,167
159.0,167
69.0,168
126.0,168
147.0,168
159.0,168
247.0,168
47.0,169
69.0,169
94.0,169
235.0,169
247.0,169
107.0,170
137.0,170
161.0,170
162.0,170
164.0,170
233.0,170
234.0,170
9.0,171
15.0,171
16.0,171
73.0,171
92.0,171
252.0,171
118.0,172
176.0,172
214.0,172
56.0,173
70.0,173
82.0,173
93.0,173
129.0,173
18.0,174
20.0,174
31.0,174
240.0,174
241.0,174
16.0,175
19.0,175
64.0,175
98.0,175
131.0,175
191.0,175
109.0,176
110.0,176
118.0,176
172.0,176
35.0,177
37.0,177
61.0,177
63.0,177
76.0,177
77.0,177
225.0,177
21.0,178
26.0,178
89.0,178
123.0,178
165.0,178
7.0,179
8.0,179
193.0,179
223.0,179
63.0,180
124.0,180
197.0,180
216.0,180
258.0,180
25.0,181
97.0,181
106.0,181
189.0,181
190.0,181
228.0,181
257.0,181
212.0,182
242.0,182
248.0,182
250.0,182
184.0,183
208.0,183
242.0,183
3.0,184
51.0,184
58.0,184
81.0,184
183.0,184
208.0,184
242.0,184
3.0,185
31.0,185
32.0,185
242.0,185
68.0,186
90.0,186
100.0,186
164.0,186
234.0,186
23.0,187
156.0,187
206.0,187
251.0,187
62.0,188
71.0,188
72.0,188
85.0,188
89.0,188
190.0,188
49.0,189
61.0,189
62.0,189
97.0,189
181.0,189
190.0,189
62.0,190
89.0,190
181.0,190
188.0,190
189.0,190
257.0,190
19.0,191
38.0,191
98.0,191
122.0,191
131.0,191
175.0,191
205.0,191
9.0,192
73.0,192
92.0,192
93.0,192
98.0,192
121.0,192
135.0,192
7.0,193
145.0,193
146.0,193
179.0,193
74.0,194
40.0,195
54.0,195
106.0,195
228.0,195
56.0,196
82.0,196
95.0,196
102.0,196
160.0,196
28.0,197
96.0,197
130.0,197
134.0,197
180.0,197
215.0,197
216.0,197
258.0,197
36.0,198
80.0,198
96.0,198
102.0,198
157.0,198
160.0,198
138.0,199
220.0,200
240.0,200
27.0,201
117.0,201
38.0,203
132.0,203
139.0,203
219.0,203
5.0,204
44.0,204
84.0,204
99.0,204
10.0,205
