Order,PathIDs,Weight_of_path,Quarter,Route
9,155.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
10,154.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
11,150.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
0,14.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
1,228.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
2,181.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
3,189.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
4,61.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
5,35.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
6,76.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
7,72.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
8,39.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
9,155.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
10,154.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
11,150.0,2546978.7100000004,2021-Q4,Bay_Ridge_to_Manhattan_Beach
0,14.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
1,228.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
2,181.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
3,189.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
4,61.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
5,35.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
6,76.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
7,72.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
8,39.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
9,155.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
10,154.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
11,150.0,2431163.32,2022-Q1,Bay_Ridge_to_Manhattan_Beach
0,14.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
1,228.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
2,181.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
3,189.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
4,61.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
5,35.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
6,76.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
7,72.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
8,39.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
9,155.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
10,154.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
11,150.0,2735417.86,2022-Q2,Bay_Ridge_to_Manhattan_Beach
0,14.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
1,228.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
2,181.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
3,189.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
4,61.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
5,35.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
6,76.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
7,72.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
8,39.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
9,155.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
10,154.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
11,150.0,2585536.62,2022-Q3,Bay_Ridge_to_Manhattan_Beach
0,14.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
1,228.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
2,181.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
3,189.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
4,61.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
5,35.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
6,76.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
7,72.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
8,39.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
9,155.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
10,154.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
11,150.0,2794873.2199999997,2022-Q4,Bay_Ridge_to_Manhattan_Beach
0,14.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
1,228.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
2,181.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
3,189.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
4,61.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
5,35.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
6,76.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
7,72.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
8,39.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
9,155.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
10,154.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
11,150.0,2769172.99,2023-Q1,Bay_Ridge_to_Manhattan_Beach
